STORE,STORE_TYPE,Open Date,Sales,Location
349,S,29-Jun-98,65647.20341,"36.51533,-121.435722"
350,S,6/29/1998,54132.60177,"36.205169,-121.132752"
351,S,29-Jun-98,150761.044,"36.673242,-121.626823"
352,S,6/29/1998,84193.53523,"36.792337,-121.664835"
353,S,29-Jun-98,201115.5182,"36.711119,-121.653645"
354,S,6/29/1998,150026.3947,"38.310635,-122.284568"
355,S,6/29/1998,137471.5634,"39.235009,-121.032395"
356,S,19980629,169843.8632,"33.64344,-117.92946"
357,S,29-Jun-98,150740.6237,"33.831954,-118.037649"
358,S,6/29/1998,160696.6933,"33.859751,-117.959773"
359,S,19980629,85607.31234,"33.8703,-117.94111"
360,S,19980629,80018.11693,"33.774505,-117.945687"
361,S,19980629,93395.32052,"33.917001,-117.959452"
362,S,19980629,132963.9821,"33.629094,-117.664681"
363,S,29-Jun-98,85791.27675,"33.78848,-117.80615"
364,S,29-Jun-98,94703.91469,"33.733342,-117.855944"
365,S,29-Jun-98,150438.2454,"33.73398,-117.884728"
366,S,6/29/1998,188975.6792,"33.736598,-117.920305"
367,S,29-Jun-98,96027.00852,"33.759364,-118.013542"
368,S,29-Jun-98,103177.0922,"33.759753,-117.981584"
369,S,6/29/1998,152385.6703,"33.887997,-117.810537"
370,S,6/29/1998,143303.3864,"38.78359,-121.264367"
371,S,6/29/1998,130607.0022,"33.976121,-117.35383"
372,S,6/29/1998,112857.6683,"33.61033,-114.587718"
373,S,29-Jun-98,186165.0412,"33.813478,-116.458637"
374,S,19980629,148513.3553,"33.87692,-117.57923"
375,S,6/29/1998,147677.45,"33.74819,-116.938609"
376,S,6/29/1998,164537.3507,"33.715283,-116.230675"
377,S,19980629,114446.0454,"33.684678,-117.365766"
378,S,29-Jun-98,157847.3292,"33.656407,-117.298385"
379,S,29-Jun-98,164194.313,"33.71182,-116.290454"
380,S,19980629,201923.8137,"33.683052,-117.16772"
381,S,6/29/1998,209421.0433,"33.974701,-117.52371"
382,S,19980629,187078.7613,"33.93946,-117.252385"
383,S,6/29/1998,163763.794,"33.56798,-117.20392"
384,S,6/29/1998,114970.0872,"33.720354,-116.380747"
385,S,19980629,110206.2245,"33.844491,-116.524958"
